X,Y,Z,Yaw,Roll,Pitch,Dx,Dy,Dz,P,Q,R,Motor1,Motor2,Motor3,Motor4,X_r,Y_r,Z_r,Yaw_r,Pitch_r,Roll_r,Dx_r,Dy_r,Dz_r,Acceleracion X,Acceleracion Y,Acceleracion Z
3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0,3859368.0
-2.1480616181494203,0.8581393134648254,-1.3619186998440334,0.0694157149953322,0.004212177143251573,-0.001258425118305891,-0.06380253615855555,0.047224242122065316,-0.00044833617471754547,4.304692602265661e-05,0.000490789378997215,0.0008615122360279774,237.52054796057627,-236.9294445463376,237.10313777953925,-237.6528500710907,-0.4423323075469404,0.08020332594498034,-1.3397376205812683,0.0694390414035035,0.0005413407461122784,0.0005413407461122784,-0.004827215217725804,-0.0003041948605953094,-0.011477890023370328,-0.0017057767382902568,0.0020044482777315377,-4.806518703893327e-05
12.459482527410396,12.806650142342374,0.35233532137225493,1.4492668167425256,0.09329678918697092,0.10705626573705512,0.577235537646531,0.594750470404622,0.48831646985394495,0.43442175119463017,0.19031079946404658,0.3530311403964167,61.79895717143612,62.000340961519626,62.09949153346735,62.0127270785462,1.839266510094347,2.0019533790213604,0.32672778128108304,1.455932750455168,0.009463458890268344,0.009463458890268344,2.4868481424247086,2.673741883927231,3.156393947465237,1.8238270018019291,1.9374954745558886,1.8195182911356957
-191.0231171,-55.46263123,-3.360996723,-5.698976517,-1.231821656,-1.230343223,-9.405467033,-8.219940186,-4.671089649,-8.805186272,-6.302950859,-5.970768929,10.0,-500.0,10.0,-500.0,-5.0,-4.900000095,-2.700000048,-5.698900223,-0.3175522983,-0.3175522983,-1000.0,-980.0,-340.0,-125.0097961,-125.3153305,-114.400528
-1.141037613,-0.8488176316,-1.58963620625,-6.071871667e-05,-0.0008617006824249999,-0.0007853758142749999,-0.004524639924,-0.00355348229625,-0.0109028585725,-0.0045702618085,-0.0023570276679999998,-0.00119233073225,235.2098083,-238.26918412499998,234.8473206,-238.2181091,-1.059999943,-0.8199999928,-1.587326527,0.0,0.0,0.0,0.0,0.0,0.0,-0.01699710265,-0.07660735957,-0.143337856975
-0.24756076184999998,-0.1067102663,-1.307021379,1.298456937e-06,9.6951007435e-05,0.00012688923739999998,0.0,0.0,0.00017311897679999998,-6.4210809115e-07,4.0028899095e-06,-1.370746759e-05,236.6609344,-236.5850983,236.4809875,-236.5589294,-0.2399999946,-0.1000000015,-1.299999952,0.0,0.0,0.0,0.0,0.0,0.0,-8.49366188e-05,0.0002143904567,-0.003264192492
0.366919212075,0.601874426,-1.101986647,0.0002255217114,0.00156890589325,0.0020244859045,0.00302411598375,0.00401367456675,0.0108678520175,0.0045794165927499995,0.0023864913379999996,0.00117874366725,238.5271187,-235.0570831,238.0606537,-235.0023804,0.3899999857,0.6000000238,-1.100000024,0.0,0.0,0.0,0.0,0.0,0.0,0.016298747154999998,0.07984044403,0.1356349103
40.9295311,197.3593597,7.122186071e-05,5.625904083,1.215662241,1.150907874,11.0891304,8.26740551,4.484425068,9.052526474,6.13538599,6.021671772,500.0,-10.0,500.0,-10.0,4.699999809,4.900000095,0.0,5.62169981,0.3396700621,0.3396700621,939.999939,980.0,199.964447,126.5199661,125.4209518,124.4593887
